TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,PLAYERS
LA Clippers ,5.1,11.4,44.8,2.8,6.7,42.2,4.3,4.9,87.5,2.3,4.7,48.6,1.517,0.57,James Harden
LA Clippers ,4.7,9.5,49.5,2.1,4.6,44.5,1.9,2.2,85.0,2.7,4.9,54.2,1.402,0.60,Norman Powell
LA Clippers ,5.1,7.8,65.8,0.0,0.0,0.0,1.8,2.7,65.5,5.1,7.8,65.8,1.542,0.66,Ivica Zubac
LA Clippers ,4.6,9.8,46.8,0.7,2.4,29.2,1.5,2.3,65.8,3.9,7.4,52.4,1.161,0.50,Russell Westbrook
LA Clippers ,2.9,6.2,46.4,0.9,2.8,30.7,0.9,1.1,78.0,2.0,3.4,59.5,1.207,0.53,Terance Mann
LA Clippers ,2.4,3.7,66.2,0.0,0.0,0.0,1.8,2.7,66.7,2.4,3.7,66.2,1.818,0.66,Mason Plumlee
LA Clippers ,2.6,4.9,54.1,0.4,1.0,42.1,0.8,1.1,72.1,2.2,3.9,57.1,1.335,0.58,Daniel Theis C
LA Clippers ,2.3,6.3,36.7,1.1,3.4,31.3,0.5,0.6,83.3,1.3,2.9,42.9,0.983,0.45,Bones Hyland
LA Clippers ,2.1,3.8,55.3,0.8,1.9,44.0,0.9,1.1,87.8,1.3,1.9,66.7,1.567,0.66,Amir Coffey
LA Clippers ,2.0,5.0,40.0,0.5,2.5,20.0,0.5,1.0,50.0,1.5,2.5,60.0,1.000,0.45,KJ Martin F
LA Clippers ,1.4,3.6,40.0,0.4,1.2,35.3,0.6,0.7,90.0,1.0,2.4,42.4,1.100,0.46,Brandon Boston Jr.
LA Clippers ,1.0,3.0,33.3,0.7,2.7,25.0,0.3,0.7,50.0,0.3,0.3,100.0,1.000,0.44,Robert Covington PF
LA Clippers ,0.9,1.8,50.0,0.0,0.0,0.0,0.9,1.2,75.0,0.9,1.8,50.0,1.500,0.50,Moussa Diabate
LA Clippers ,1.0,2.7,37.5,0.7,2.3,28.6,0.0,0.0,0.0,0.3,0.3,100.0,1.000,0.50,Nicolas Batum PF
LA Clippers ,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1.000,0.50,Joshua Primo
LA Clippers ,0.7,2.0,37.7,0.4,1.3,30.8,0.0,0.1,50.0,0.4,0.7,50.0,0.967,0.48,Kobe Brown
LA Clippers ,0.8,1.3,60.0,0.3,0.3,100.0,0.0,0.0,0.0,0.5,1.0,50.0,1.400,0.70,Jordan Miller
LA Clippers ,0.3,1.2,28.6,0.3,0.9,27.3,0.3,0.3,100.0,0.1,0.3,33.3,1.000,0.39,P.J. Tucker PF
LA Clippers ,0.5,1.0,50.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,100.0,1.000,0.50,Xavier Moon
Los Angeles Lakers ,9.3,18.0,51.9,2.1,5.4,39.3,4.1,5.5,73.7,7.2,12.6,57.2,1.382,0.58,LeBron James
Los Angeles Lakers ,9.5,17.1,55.4,0.3,1.2,27.9,5.4,6.7,80.7,9.1,15.9,57.6,1.447,0.56,Anthony Davis
Los Angeles Lakers ,6.4,13.8,46.5,2.7,6.4,41.8,2.0,2.5,81.0,3.7,7.3,50.7,1.271,0.56,D'Angelo Russell
Los Angeles Lakers ,5.4,11.2,48.8,1.7,4.7,35.9,3.1,3.6,85.8,3.7,6.4,58.2,1.408,0.56,Austin Reaves
Los Angeles Lakers ,4.3,8.6,50.0,1.2,3.0,38.3,1.6,2.1,74.7,3.2,5.6,56.3,1.314,0.57,Rui Hachimura
Los Angeles Lakers ,3.5,7.9,43.6,2.0,5.2,38.6,0.7,1.0,73.5,1.5,2.7,52.9,1.213,0.56,Taurean Prince
Los Angeles Lakers ,2.5,5.3,46.8,0.7,2.3,31.5,1.3,1.9,69.6,1.8,3.0,58.3,1.325,0.54,Christian Wood
Los Angeles Lakers ,2.4,5.9,40.5,0.9,2.7,33.7,1.0,1.3,78.3,1.5,3.1,46.4,1.141,0.48,Cam Reddish
Los Angeles Lakers ,2.4,6.4,37.5,0.4,3.4,11.8,0.2,0.4,50.0,2.0,3.0,66.7,0.844,0.41,Gabe Vincent
Los Angeles Lakers ,2.0,3.9,51.8,0.3,0.9,29.6,0.8,1.2,66.7,1.8,3.0,58.6,1.316,0.55,Jarred Vanderbilt
Los Angeles Lakers ,1.8,4.3,42.2,0.7,2.1,35.6,0.7,0.9,78.4,1.1,2.2,48.4,1.173,0.51,Max Christie
Los Angeles Lakers ,1.5,2.2,69.5,0.0,0.1,0.0,0.6,1.0,61.0,1.5,2.1,74.2,1.653,0.69,Jaxson Hayes
Los Angeles Lakers ,1.2,1.8,66.7,0.0,0.0,0.0,0.8,0.8,100.0,1.2,1.8,66.7,1.778,0.67,Colin Castleton
Los Angeles Lakers ,1.0,2.3,43.8,0.3,0.7,40.0,0.0,0.0,0.0,0.7,1.6,45.5,1.000,0.50,Skylar Mays SG
Los Angeles Lakers ,0.8,1.3,60.0,0.8,1.0,75.0,0.0,0.0,0.0,0.0,0.3,0.0,1.800,0.90,Dylan Windler G
Los Angeles Lakers ,0.7,2.1,33.3,0.4,1.7,25.0,0.1,0.3,50.0,0.3,0.4,66.7,0.933,0.43,D'Moi Hodge
Los Angeles Lakers ,0.5,2.3,22.2,0.1,0.7,9.1,0.6,1.0,62.5,0.4,1.6,28.0,0.750,0.24,Jalen Hood-Schifino
Los Angeles Lakers ,0.3,1.5,16.7,0.0,0.5,0.0,0.5,0.5,100.0,0.3,1.0,25.0,0.667,0.17,Alex Fudge
Los Angeles Lakers ,0.2,0.7,25.0,0.1,0.2,33.3,0.0,0.0,0.0,0.1,0.5,22.2,0.583,0.29,Maxwell Lewis
Memphis Grizzlies ,8.9,18.9,47.1,1.6,5.7,27.5,5.8,7.1,81.3,7.3,13.2,55.5,1.329,0.51,Ja Morant
Memphis Grizzlies ,8.9,18.8,47.4,3.3,8.6,38.4,3.3,3.8,86.4,5.6,10.2,55.1,1.299,0.56,Desmond Bane
Memphis Grizzlies ,7.7,17.2,44.8,1.8,5.6,32.4,5.1,6.2,82.5,5.9,11.6,50.9,1.299,0.50,Jaren Jackson Jr.
Memphis Grizzlies ,5.1,11.9,43.0,2.1,6.7,31.3,2.2,2.8,76.8,3.0,5.2,58.3,1.219,0.52,Marcus Smart
Memphis Grizzlies ,3.7,7.4,50.0,1.6,2.6,61.1,2.1,3.0,71.4,2.1,4.9,44.1,1.500,0.61,Scotty Pippen Jr.
Memphis Grizzlies ,4.0,9.3,43.3,1.7,4.9,35.0,0.9,1.4,60.3,2.3,4.5,52.5,1.141,0.52,Santi Aldama
Memphis Grizzlies ,3.5,8.0,43.7,2.7,6.0,44.7,0.8,1.0,87.5,0.8,2.0,40.8,1.317,0.61,Luke Kennard
Memphis Grizzlies ,3.5,8.0,43.5,1.6,4.1,37.9,1.6,2.3,69.4,1.9,3.9,49.4,1.268,0.53,GG Jackson
Memphis Grizzlies ,3.0,6.8,44.1,1.6,4.1,38.2,1.7,2.2,79.8,1.4,2.7,53.2,1.369,0.56,Vince Williams Jr.
Memphis Grizzlies ,3.4,7.4,45.3,0.8,2.0,38.5,1.1,1.2,91.7,2.6,5.5,47.7,1.155,0.50,Derrick Rose
Memphis Grizzlies ,3.2,8.0,40.2,1.0,3.3,30.1,1.0,1.4,68.7,2.3,4.8,47.0,1.044,0.46,David Roddy
Memphis Grizzlies ,2.7,7.0,39.0,1.1,3.5,31.4,1.1,1.3,83.1,1.6,3.5,46.7,1.097,0.47,Ziaire Williams
